product,date,unit,min_price,max_price,avg_price
tomato big(nepali),2021-01-05,Kg,50.0,60.0,55.0
tomato big(indian),2021-01-05,Kg,50.0,60.0,55.0
tomato small(local),2021-01-05,Kg,30.0,35.0,32.5
tomato small(tunnel),2021-01-05,Kg,30.0,35.0,32.5
tomato small(indian),2021-01-05,KG,40.0,45.0,42.5
tomato small(terai),2021-01-05,KG,40.0,45.0,42.5
potato red,2021-01-05,Kg,40.0,45.0,42.5
potato red(indian),2021-01-05,KG,30.0,35.0,32.5
potato white,2021-01-05,Kg,28.0,30.0,29.0
onion dry (indian),2021-01-05,Kg,60.0,65.0,62.5
carrot(local),2021-01-05,Kg,110.0,120.0,115.0
carrot(terai),2021-01-05,Kg,70.0,80.0,75.0
cabbage(local),2021-01-05,Kg,25.0,30.0,27.5
cabbage(terai),2021-01-05,Kg,18.0,25.0,21.5
cabbage,2021-01-05,Kg,25.0,30.0,27.5
cauli local,2021-01-05,Kg,25.0,35.0,30.0
cauli local(jyapu),2021-01-05,Kg,40.0,50.0,45.0
cauli terai,2021-01-05,Kg,20.0,25.0,22.5
raddish red,2021-01-05,Kg,35.0,40.0,37.5
raddish white(local),2021-01-05,Kg,10.0,15.0,12.5
raddish white(hybrid),2021-01-05,Kg,15.0,20.0,17.5
brinjal long,2021-01-05,Kg,45.0,50.0,47.5
brinjal round,2021-01-05,Kg,45.0,50.0,47.5
green peas,2021-01-05,Kg,50.0,60.0,55.0
french bean(local),2021-01-05,Kg,50.0,60.0,55.0
french bean(hybrid),2021-01-05,Kg,60.0,70.0,65.0
sword bean,2021-01-05,Kg,50.0,55.0,52.5
bitter gourd,2021-01-05,Kg,100.0,110.0,105.0
bottle gourd,2021-01-05,Kg,35.0,40.0,37.5
pumpkin,2021-01-05,Kg,20.0,25.0,22.5
squash(long),2021-01-05,Kg,25.0,30.0,27.5
squash(round),2021-01-05,Kg,45.0,50.0,47.5
turnip,2021-01-05,Kg,70.0,80.0,75.0
okara,2021-01-05,Kg,70.0,80.0,75.0
sweet potato,2021-01-05,Kg,70.0,80.0,75.0
barela,2021-01-05,Kg,50.0,60.0,55.0
arum,2021-01-05,Kg,50.0,60.0,55.0
christophine,2021-01-05,Kg,15.0,20.0,17.5
brd leaf mustard,2021-01-05,Kg,50.0,60.0,55.0
spinach leaf,2021-01-05,Kg,70.0,80.0,75.0
cress leaf,2021-01-05,Kg,80.0,90.0,85.0
mustard leaf,2021-01-05,Kg,50.0,60.0,55.0
fenugreek leaf,2021-01-05,Kg,70.0,80.0,75.0
onion green,2021-01-05,Kg,50.0,60.0,55.0
bakula,2021-01-05,Kg,110.0,120.0,115.0
yam,2021-01-05,Kg,50.0,60.0,55.0
mushroom(kanya),2021-01-05,Kg,150.0,160.0,155.0
mushroom(button),2021-01-05,KG,250.0,280.0,265.0
brocauli,2021-01-05,Kg,40.0,50.0,45.0
