Commodity,Date,Unit,Minimum Price,Maximum Price,Average Price,Price Range,Price_Difference,Date_Day
Tomato Big(Nepali),2021-01-05,Kg,50,60,55,10,5,5
Tomato Big(Indian),2021-01-05,Kg,50,60,55,10,5,5
Tomato Small(Local),2021-01-05,Kg,30,35,32,5,2,5
Tomato Small(Tunnel),2021-01-05,Kg,30,35,32,5,2,5
Tomato Small(Indian),2021-01-05,KG,40,45,42,5,2,5
Tomato Small(Terai),2021-01-05,KG,40,45,42,5,2,5
Potato Red,2021-01-05,Kg,40,45,42,5,2,5
Potato Red(Indian),2021-01-05,KG,30,35,32,5,2,5
Potato White,2021-01-05,Kg,28,30,29,2,1,5
Onion Dry (Indian),2021-01-05,Kg,60,65,62,5,2,5
Carrot(Local),2021-01-05,Kg,110,120,115,10,5,5
Carrot(Terai),2021-01-05,Kg,70,80,75,10,5,5
Cabbage(Local),2021-01-05,Kg,25,30,27,5,2,5
Cabbage(Terai),2021-01-05,Kg,18,25,21,7,3,5
Cabbage,2021-01-05,Kg,25,30,27,5,2,5
Cauli Local,2021-01-05,Kg,25,35,30,10,5,5
Cauli Local(Jyapu),2021-01-05,Kg,40,50,45,10,5,5
Cauli Terai,2021-01-05,Kg,20,25,22,5,2,5
Raddish Red,2021-01-05,Kg,35,40,37,5,2,5
Raddish White(Local),2021-01-05,Kg,10,15,12,5,2,5
Raddish White(Hybrid),2021-01-05,Kg,15,20,17,5,2,5
Brinjal Long,2021-01-05,Kg,45,50,47,5,2,5
Brinjal Round,2021-01-05,Kg,45,50,47,5,2,5
Green Peas,2021-01-05,Kg,50,60,55,10,5,5
French Bean(Local),2021-01-05,Kg,50,60,55,10,5,5
French Bean(Hybrid),2021-01-05,Kg,60,70,65,10,5,5
Sword Bean,2021-01-05,Kg,50,55,52,5,2,5
Bitter Gourd,2021-01-05,Kg,100,110,105,10,5,5
Bottle Gourd,2021-01-05,Kg,35,40,37,5,2,5
Pumpkin,2021-01-05,Kg,20,25,22,5,2,5
Squash(Long),2021-01-05,Kg,25,30,27,5,2,5
Squash(Round),2021-01-05,Kg,45,50,47,5,2,5
Turnip,2021-01-05,Kg,70,80,75,10,5,5
Okara,2021-01-05,Kg,70,80,75,10,5,5
Sweet Potato,2021-01-05,Kg,70,80,75,10,5,5
Barela,2021-01-05,Kg,50,60,55,10,5,5
Arum,2021-01-05,Kg,50,60,55,10,5,5
Christophine,2021-01-05,Kg,15,20,17,5,2,5
Brd Leaf Mustard,2021-01-05,Kg,50,60,55,10,5,5
Spinach Leaf,2021-01-05,Kg,70,80,75,10,5,5
Cress Leaf,2021-01-05,Kg,80,90,85,10,5,5
Mustard Leaf,2021-01-05,Kg,50,60,55,10,5,5
Fenugreek Leaf,2021-01-05,Kg,70,80,75,10,5,5
Onion Green,2021-01-05,Kg,50,60,55,10,5,5
Bakula,2021-01-05,Kg,110,120,115,10,5,5
Yam,2021-01-05,Kg,50,60,55,10,5,5
Mushroom(Kanya),2021-01-05,Kg,150,160,155,10,5,5
Mushroom(Button),2021-01-05,KG,250,280,265,30,15,5
Brocauli,2021-01-05,Kg,40,50,45,10,5,5
Sugarbeet,2021-01-05,Kg,90,100,95,10,5,5
Red Cabbbage,2021-01-05,Kg,150,200,175,50,25,5
Lettuce,2021-01-05,Kg,50,60,55,10,5,5
Knolkhol,2021-01-05,Kg,40,50,45,10,5,5
Celery,2021-01-05,Kg,220,250,235,30,15,5
Parseley,2021-01-05,Kg,350,400,375,50,25,5
Fennel Leaf,2021-01-05,Kg,90,100,95,10,5,5
Mint,2021-01-05,Kg,220,250,235,30,15,5
Turnip A,2021-01-05,Kg,70,80,75,10,5,5
Tamarind,2021-01-05,Kg,140,150,145,10,5,5
Bamboo Shoot,2021-01-05,Kg,70,80,75,10,5,5
Tofu,2021-01-05,Kg,70,80,75,10,5,5
Gundruk,2021-01-05,Kg,220,250,235,30,15,5
Apple(Jholey),2021-01-05,Kg,220,230,225,10,5,5
Apple(Fuji),2021-01-05,KG,280,290,285,10,5,5
Banana,2021-01-05,Doz,90,100,95,10,5,5
Lime,2021-01-05,Kg,110,120,115,10,5,5
Pomegranate,2021-01-05,Kg,250,300,275,50,25,5
Grapes(Green),2021-01-05,Kg,240,250,245,10,5,5
Grapes(Black),2021-01-05,Kg,340,350,345,10,5,5
Orange(Nepali),2021-01-05,Kg,90,100,95,10,5,5
Orange(Indian),2021-01-05,Kg,70,80,75,10,5,5
Water Melon(Green),2021-01-05,Kg,50,60,55,10,5,5
Sweet Orange,2021-01-05,Kg,150,160,155,10,5,5
Pineapple,2021-01-05,1 Pc,150,160,155,10,5,5
Cucumber(Local),2021-01-05,Kg,80,90,85,10,5,5
Cucumber(Hybrid),2021-01-05,KG,40,50,45,10,5,5
Pear(Chinese),2021-01-05,Kg,260,270,265,10,5,5
Papaya(Indian),2021-01-05,Kg,90,100,95,10,5,5
Guava,2021-01-05,Kg,90,100,95,10,5,5
Mombin,2021-01-05,Kg,30,40,35,10,5,5
Kinnow,2021-01-05,Kg,70,80,75,10,5,5
Strawberry,2021-01-05,Kg,500,550,525,50,25,5
Kiwi,2021-01-05,Kg,220,250,235,30,15,5
Ginger,2021-01-05,Kg,50,60,55,10,5,5
Chilli Dry,2021-01-05,Kg,320,330,325,10,5,5
Chilli Green,2021-01-05,Kg,80,90,85,10,5,5
Chilli Green(Bullet),2021-01-05,KG,90,100,95,10,5,5
Chilli Green(Machhe),2021-01-05,KG,90,100,95,10,5,5
